trade date	scheme	security	isin	secname	deal id	trade type	units	price iso	txn net	txn gross	settle date
20251103	779	011907101	INE259A01022	EQ - COLGATE PALMOLIVE INDIA LTD.	CF2500117800018348	BUY	17	INR	2200.7118	2203.352388	20251104
20251103	779	011922201	INE318A01026	EQ - PIDILITE INDUSTRIES LTD.	CF2500117800018349	BUY	17	INR	1460.9294	1462.682341	20251104
20251103	779	011932701	INE029A01011	EQ - BHARAT PETROLEUM CORPN LTD.	CF2500117800018350	BUY	89	INR	367.4118	367.852587	20251104
20251103	779	011945001	INE196A01026	EQ - MARICO LTD	CF2500117800018351	BUY	40	INR	722.365	723.23175	20251104
20251103	779	012000301	INE522F01014	EQ - COAL INDIA LTD.	CF2500117800018352	BUY	125	INR	388.7408	389.2072	20251104
20251103	779	012009801	INE670A01012	EQ - TATA ELXSI LTD.	CF2500117800018353	BUY	4	INR	5439.375	5445.9025	20251104
20251103	779	012020301	INE860A01027	EQ - HCL TECHNOLOGIES LTD.	CF2500117800018354	BUY	29	INR	1544.5828	1546.436248	20251104
20251103	779	012030901	INE203G01027	EQ - INDRAPRASTHA GAS LTD.	CF2500117800018355	BUY	65	INR	215.3951	215.653562	20251104
20251103	779	012040201	INE881D01027	EQ - ORACLE FINANCIAL SERVICES SOFT	CF2500117800018356	BUY	2	INR	8412.75	8422.845	20251104
20251103	779	012049201	INE467B01029	EQ - TATA CONSULTANCY SERVICES LTD.	CF2500117800018357	BUY	15	INR	3017.8667	3021.488033	20251104
20251103	779	012066801	INE176B01034	EQ - HAVELLS INDIA LTD.	CF2500117800018358	BUY	14	INR	1498.1929	1499.990757	20251104
20251103	779	012086501	INE917I01010	EQ - BAJAJ AUTO LTD.	CF2500117800018359	BUY	5	INR	8927.6	8938.314	20251104
20251103	779	012103501	INE262H01021	EQ - PERSISTENT SYSTEMS LTD.	CF2500117800018360	BUY	4	INR	5931.875	5938.9925	20251104
20251103	779	012135501	INE214T01019	EQ - LTIMindtree Limited	CF2500117800018361	BUY	5	INR	5703.9	5710.744	20251104
20251103	779	012144601	INE066F01020	EQ - HINDUSTAN AERONAUTICS LTD	CF2500117800018362	BUY	7	INR	4697.7	4703.337143	20251104
20251103	779	012148301	INE127D01025	EQ - HDFC ASSET MANAGEMENT COMPANY	CF2500117800018363	BUY	5	INR	5407.2	5413.688	20251104
20251103	779	012151901	INE455K01017	EQ - POLYCAB INDIA LTD	CF2500117800018364	BUY	4	INR	7631.375	7640.5325	20251104
20251103	779	012152901	INE04I401011	EQ - KPIT TECHNOLOGIES LTD	CF2500117800018365	BUY	15	INR	1166.2667	1167.666033	20251104
20251103	779	012153201	INE335Y01020	EQ - INDIAN RAILWAY CATERING & TOUR	CF2500117800018366	BUY	32	INR	723.7781	724.646538	20251104
