valuation date,portfolio code,portfolio name,asset name,issuer,security,isin no,secname,quantity,market price,cost price,mktval,per,nav
20251031,193,UTI Value Fund,Equity Shares,Aditya Birla Sun Life Amc Ltd,012159801,INE404A01024,EQ - ADITYA BIRLA SUN LIFE AMC LTD,"1,353,752",762,460,"1,031,559,024",1.03,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Aia Engineering Ltd.,012055701,INE212H01026,EQ - AIA ENGINEERING LTD.,"264,845","3,249.9","2,361.700479337","860,719,765.5",0.86,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Axis Bank Ltd.,010213601,INE238A01034,EQ - AXIS BANK LTD.,"3,200,000","1,232.8",655.7574602156,"3,944,960,000",3.92,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Bajaj Auto Ltd.,012086501,INE917I01010,EQ - BAJAJ AUTO LTD.,"165,809","8,892.5","5,941.8523636232","1,474,456,532.5",1.47,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Bharat Electronics Ltd.,010626301,INE263A01024,EQ - BHARAT ELECTRONICS LTD.,"2,800,000",426.1,102.8496081786,"1,193,080,000",1.19,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Bharat Petroleum Corporation Ltd.,011932701,INE029A01011,EQ - BHARAT PETROLEUM CORPN LTD.,"3,300,000",356.8,289.8602956424,"1,177,440,000",1.17,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Bharti Airtel Ltd.,012038901,INE397D01024,EQ - BHARTI AIRTEL LTD.,"2,197,804","2,054.5",431.3478461501,"4,515,388,318",4.49,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Brigade Enterprises Ltd.,012089501,INE791I01019,EQ - BRIGADE ENTERPRISES LTD.,"683,871","1,037.7",911.3777350699,"709,652,936.7",0.71,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Cipla  Ltd.,010443401,INE059A01026,EQ - CIPLA LTD.,"1,200,000","1,501.3",698.1229885417,"1,801,560,000",1.79,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Coal India Ltd.,012000301,INE522F01014,EQ - COAL INDIA LTD.,"3,764,592",388.65,298.5260154487,"1,463,108,680.8",1.45,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Crompton Greaves Consumer Electricals Ltd.,012132601,INE299U01018,EQ - CROMPTON GREAVES CONSUMER ELEC,"5,000,000",282.7,266.104250062,"1,413,500,000",1.41,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Dabur India Ltd.,010443301,INE016A01026,EQ - DABUR INDIA LTD.,"2,600,000",487.55,525.1216690846,"1,267,630,000",1.26,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Dalmia Bharat Ltd,012149901,INE00R701025,EQ - DALMIA BHARAT LTD,"584,806","2,096.8","1,830.8771286546","1,226,221,220.8",1.22,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Eicher Motors Ltd,011804401,INE066A01021,EQ - EICHER MOTORS LTD,"275,000","7,007","2,622.5451130545","1,926,925,000",1.92,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Emami Ltd.,012110801,INE548C01032,EQ - EMAMI LTD.,"1,800,000",534.4,492.4376308167,"961,920,000",0.96,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Federal Bank Ltd.,010214201,INE171A01029,EQ - FEDERAL BANK LTD.,"1,109,627",236.61,235.7569387371,"262,548,844.47",0.26,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Fortis Healthcare Ltd.,012069901,INE061F01013,EQ - FORTIS HEALTHCARE LTD.,"1,550,000","1,023.05",194.7358513742,"1,585,727,500",1.58,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Glenmark Pharmaceuticals Ltd,012035901,INE935A01035,EQ - GLENMARK PHARMACEUTICALS LTD.,"800,000","1,891.2","1,098.47694355","1,512,960,000",1.5,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Great Eastern Shipping Co. Ltd.,011200201,INE017A01032,EQ - GREAT EASTERN SHIPPING CO. LTD,"1,261,965","1,099.6",976.0761384745,"1,387,656,714",1.38,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Greenpanel Industries Ltd,012157901,INE08ZM01014,EQ - GREENPANEL INDUSTRIES LTD,"917,220",284.9,341.0530951353,"261,315,978",0.26,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Hcl Technologies Ltd.,012020301,INE860A01027,EQ - HCL TECHNOLOGIES LTD.,"1,000,000","1,541.5","1,651.84003983","1,541,500,000",1.53,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Hdfc Bank Ltd.,010216601,INE040A01034,EQ - HDFC BANK LIMITED,"9,775,000",987.3,505.8057665269,"9,650,857,500",9.6,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Hindalco Industries Ltd.,010100301,INE038A01020,EQ - HINDALCO INDUSTRIES LTD.,"2,400,000",847.85,397.2065748375,"2,034,840,000",2.02,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Icici  Lombard General Insurance Company Ltd,012141101,INE765G01017,EQ - ICICI LOMBARD GENERAL INSURANC,"825,000","1,993.7","1,334.2897474545","1,644,802,500",1.64,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Icici Bank Ltd,012002901,INE090A01021,EQ - ICICI BANK LTD,"4,250,000","1,345.3",285.3278481647,"5,717,525,000",5.68,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Icici Prudential Life Insurance Company Limited,012136201,INE726G01019,EQ - ICICI PRUDENTIAL LIFE INSURA L,"1,454,046",591.15,476.4613279429,"859,559,292.9",0.85,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Indiamart Intermesh Ltd,012153501,INE933S01016,EQ - INDIAMART INTERMESH LTD,"319,238","2,457.9","2,557.5572543369","784,655,080.2",0.78,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Indus Ind Bank Ltd.,012001901,INE095A01012,EQ - INDUSIND BANK,"1,864,320",794.8,"1,182.7194501051","1,481,761,536",1.47,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Info-Edge (India) Ltd.,012062001,INE663F01032,EQ - INFO-EDGE (INDIA) LTD.,"1,000,000","1,378.3",922.39094367,"1,378,300,000",1.37,"100,578,077,336.98"
20251031,193,UTI Value Fund,Equity Shares,Infosys Ltd.,010653801,INE009A01021,EQ - INFOSYS LTD.,"2,900,000","1,482.3",712.0859682655,"4,298,670,000",4.27,"100,578,077,336.98"
